onset	duration	trial_type	response_time	sample	value
8714.00	4000.00	hand	n/a	8714.00	1.00
16764.00	4000.00	hand	n/a	16764.00	1.00
24814.00	4000.00	hand	n/a	24814.00	1.00
32863.00	4000.00	hand	n/a	32863.00	1.00
40913.00	4000.00	hand	n/a	40913.00	1.00
48980.00	4000.00	elbow	n/a	48980.00	2.00
57030.00	4000.00	hand	n/a	57030.00	1.00
65080.00	4000.00	hand	n/a	65080.00	1.00
73146.00	4000.00	elbow	n/a	73146.00	2.00
81196.00	4000.00	elbow	n/a	81196.00	2.00
89246.00	4000.00	elbow	n/a	89246.00	2.00
97313.00	4000.00	hand	n/a	97313.00	1.00
105363.00	4000.00	elbow	n/a	105363.00	2.00
113412.00	4000.00	elbow	n/a	113412.00	2.00
121479.00	4000.00	elbow	n/a	121479.00	2.00
129529.00	4000.00	elbow	n/a	129529.00	2.00
137579.00	4000.00	hand	n/a	137579.00	1.00
145629.00	4000.00	hand	n/a	145629.00	1.00
153679.00	4000.00	elbow	n/a	153679.00	2.00
161729.00	4000.00	hand	n/a	161729.00	1.00
169778.00	4000.00	elbow	n/a	169778.00	2.00
177828.00	4000.00	elbow	n/a	177828.00	2.00
185878.00	4000.00	hand	n/a	185878.00	1.00
193928.00	4000.00	elbow	n/a	193928.00	2.00
201978.00	4000.00	elbow	n/a	201978.00	2.00
210028.00	4000.00	hand	n/a	210028.00	1.00
218078.00	4000.00	elbow	n/a	218078.00	2.00
226128.00	4000.00	elbow	n/a	226128.00	2.00
234194.00	4000.00	hand	n/a	234194.00	1.00
242244.00	4000.00	hand	n/a	242244.00	1.00
250294.00	4000.00	hand	n/a	250294.00	1.00
258361.00	4000.00	elbow	n/a	258361.00	2.00
266411.00	4000.00	elbow	n/a	266411.00	2.00
274461.00	4000.00	elbow	n/a	274461.00	2.00
282527.00	4000.00	hand	n/a	282527.00	1.00
290577.00	4000.00	hand	n/a	290577.00	1.00
298627.00	4000.00	hand	n/a	298627.00	1.00
306693.00	4000.00	hand	n/a	306693.00	1.00
314743.00	4000.00	elbow	n/a	314743.00	2.00
322793.00	4000.00	elbow	n/a	322793.00	2.00
