onset	duration	trial_type	response_time	sample	value
8293.00	4000.00	elbow	n/a	8293.00	2.00
16359.00	4000.00	hand	n/a	16359.00	1.00
24409.00	4000.00	hand	n/a	24409.00	1.00
32459.00	4000.00	hand	n/a	32459.00	1.00
40509.00	4000.00	hand	n/a	40509.00	1.00
48559.00	4000.00	elbow	n/a	48559.00	2.00
56609.00	4000.00	elbow	n/a	56609.00	2.00
64659.00	4000.00	elbow	n/a	64659.00	2.00
72708.00	4000.00	hand	n/a	72708.00	1.00
80758.00	4000.00	elbow	n/a	80758.00	2.00
88808.00	4000.00	hand	n/a	88808.00	1.00
96858.00	4000.00	elbow	n/a	96858.00	2.00
104908.00	4000.00	elbow	n/a	104908.00	2.00
112958.00	4000.00	elbow	n/a	112958.00	2.00
121008.00	4000.00	elbow	n/a	121008.00	2.00
129074.00	4000.00	elbow	n/a	129074.00	2.00
137124.00	4000.00	hand	n/a	137124.00	1.00
145174.00	4000.00	elbow	n/a	145174.00	2.00
153241.00	4000.00	hand	n/a	153241.00	1.00
161291.00	4000.00	elbow	n/a	161291.00	2.00
169341.00	4000.00	elbow	n/a	169341.00	2.00
177407.00	4000.00	hand	n/a	177407.00	1.00
185457.00	4000.00	hand	n/a	185457.00	1.00
193507.00	4000.00	hand	n/a	193507.00	1.00
201574.00	4000.00	hand	n/a	201574.00	1.00
209623.00	4000.00	elbow	n/a	209623.00	2.00
217673.00	4000.00	hand	n/a	217673.00	1.00
225740.00	4000.00	hand	n/a	225740.00	1.00
233790.00	4000.00	elbow	n/a	233790.00	2.00
241840.00	4000.00	elbow	n/a	241840.00	2.00
249906.00	4000.00	elbow	n/a	249906.00	2.00
257956.00	4000.00	elbow	n/a	257956.00	2.00
266006.00	4000.00	hand	n/a	266006.00	1.00
274073.00	4000.00	hand	n/a	274073.00	1.00
282123.00	4000.00	elbow	n/a	282123.00	2.00
290172.00	4000.00	hand	n/a	290172.00	1.00
298239.00	4000.00	hand	n/a	298239.00	1.00
306289.00	4000.00	elbow	n/a	306289.00	2.00
314339.00	4000.00	hand	n/a	314339.00	1.00
322405.00	4000.00	hand	n/a	322405.00	1.00
