onset	duration	trial_type	response_time	sample	value
8128.00	4000.00	elbow	n/a	8128.00	2.00
16178.00	4000.00	elbow	n/a	16178.00	2.00
24228.00	4000.00	hand	n/a	24228.00	1.00
32278.00	4000.00	hand	n/a	32278.00	1.00
40345.00	4000.00	hand	n/a	40345.00	1.00
48394.00	4000.00	elbow	n/a	48394.00	2.00
56444.00	4000.00	hand	n/a	56444.00	1.00
64511.00	4000.00	hand	n/a	64511.00	1.00
72561.00	4000.00	elbow	n/a	72561.00	2.00
80611.00	4000.00	elbow	n/a	80611.00	2.00
88677.00	4000.00	elbow	n/a	88677.00	2.00
96727.00	4000.00	hand	n/a	96727.00	1.00
104777.00	4000.00	elbow	n/a	104777.00	2.00
112844.00	4000.00	elbow	n/a	112844.00	2.00
120894.00	4000.00	hand	n/a	120894.00	1.00
128943.00	4000.00	hand	n/a	128943.00	1.00
137010.00	4000.00	elbow	n/a	137010.00	2.00
145060.00	4000.00	hand	n/a	145060.00	1.00
153110.00	4000.00	elbow	n/a	153110.00	2.00
161177.00	4000.00	elbow	n/a	161177.00	2.00
169226.00	4000.00	elbow	n/a	169226.00	2.00
177276.00	4000.00	hand	n/a	177276.00	1.00
185343.00	4000.00	hand	n/a	185343.00	1.00
193393.00	4000.00	hand	n/a	193393.00	1.00
201443.00	4000.00	hand	n/a	201443.00	1.00
209509.00	4000.00	elbow	n/a	209509.00	2.00
217559.00	4000.00	hand	n/a	217559.00	1.00
225609.00	4000.00	hand	n/a	225609.00	1.00
233676.00	4000.00	elbow	n/a	233676.00	2.00
241725.00	4000.00	elbow	n/a	241725.00	2.00
249775.00	4000.00	elbow	n/a	249775.00	2.00
257842.00	4000.00	hand	n/a	257842.00	1.00
265892.00	4000.00	hand	n/a	265892.00	1.00
273942.00	4000.00	hand	n/a	273942.00	1.00
281992.00	4000.00	elbow	n/a	281992.00	2.00
290042.00	4000.00	elbow	n/a	290042.00	2.00
298091.00	4000.00	elbow	n/a	298091.00	2.00
306141.00	4000.00	hand	n/a	306141.00	1.00
314191.00	4000.00	elbow	n/a	314191.00	2.00
322241.00	4000.00	hand	n/a	322241.00	1.00
