onset	duration	trial_type	response_time	sample	value
19588.00	4000.00	elbow	n/a	19588.00	2.00
27638.00	4000.00	hand	n/a	27638.00	1.00
35688.00	4000.00	elbow	n/a	35688.00	2.00
43738.00	4000.00	hand	n/a	43738.00	1.00
51788.00	4000.00	elbow	n/a	51788.00	2.00
59838.00	4000.00	hand	n/a	59838.00	1.00
67904.00	4000.00	elbow	n/a	67904.00	2.00
75954.00	4000.00	hand	n/a	75954.00	1.00
84004.00	4000.00	hand	n/a	84004.00	1.00
92071.00	4000.00	elbow	n/a	92071.00	2.00
100120.00	4000.00	hand	n/a	100120.00	1.00
108170.00	4000.00	hand	n/a	108170.00	1.00
116237.00	4000.00	elbow	n/a	116237.00	2.00
124287.00	4000.00	hand	n/a	124287.00	1.00
132337.00	4000.00	elbow	n/a	132337.00	2.00
140403.00	4000.00	hand	n/a	140403.00	1.00
148453.00	4000.00	hand	n/a	148453.00	1.00
156503.00	4000.00	hand	n/a	156503.00	1.00
164570.00	4000.00	elbow	n/a	164570.00	2.00
172620.00	4000.00	hand	n/a	172620.00	1.00
180669.00	4000.00	elbow	n/a	180669.00	2.00
188736.00	4000.00	elbow	n/a	188736.00	2.00
196786.00	4000.00	hand	n/a	196786.00	1.00
204836.00	4000.00	hand	n/a	204836.00	1.00
212902.00	4000.00	elbow	n/a	212902.00	2.00
220952.00	4000.00	elbow	n/a	220952.00	2.00
229002.00	4000.00	hand	n/a	229002.00	1.00
237069.00	4000.00	hand	n/a	237069.00	1.00
245119.00	4000.00	elbow	n/a	245119.00	2.00
253169.00	4000.00	elbow	n/a	253169.00	2.00
261235.00	4000.00	elbow	n/a	261235.00	2.00
269285.00	4000.00	hand	n/a	269285.00	1.00
277335.00	4000.00	elbow	n/a	277335.00	2.00
285402.00	4000.00	hand	n/a	285402.00	1.00
293451.00	4000.00	hand	n/a	293451.00	1.00
301501.00	4000.00	elbow	n/a	301501.00	2.00
309568.00	4000.00	elbow	n/a	309568.00	2.00
317618.00	4000.00	elbow	n/a	317618.00	2.00
325668.00	4000.00	hand	n/a	325668.00	1.00
333734.00	4000.00	elbow	n/a	333734.00	2.00
