onset	duration	trial_type	response_time	sample	value
11415.00	4000.00	elbow	n/a	11415.00	2.00
19482.00	4000.00	hand	n/a	19482.00	1.00
27532.00	4000.00	hand	n/a	27532.00	1.00
35582.00	4000.00	hand	n/a	35582.00	1.00
43648.00	4000.00	elbow	n/a	43648.00	2.00
51698.00	4000.00	elbow	n/a	51698.00	2.00
59748.00	4000.00	hand	n/a	59748.00	1.00
67815.00	4000.00	hand	n/a	67815.00	1.00
75864.00	4000.00	elbow	n/a	75864.00	2.00
83914.00	4000.00	elbow	n/a	83914.00	2.00
91981.00	4000.00	elbow	n/a	91981.00	2.00
100031.00	4000.00	hand	n/a	100031.00	1.00
108081.00	4000.00	hand	n/a	108081.00	1.00
116147.00	4000.00	elbow	n/a	116147.00	2.00
124197.00	4000.00	hand	n/a	124197.00	1.00
132247.00	4000.00	hand	n/a	132247.00	1.00
140314.00	4000.00	hand	n/a	140314.00	1.00
148364.00	4000.00	elbow	n/a	148364.00	2.00
156413.00	4000.00	elbow	n/a	156413.00	2.00
164480.00	4000.00	elbow	n/a	164480.00	2.00
172530.00	4000.00	elbow	n/a	172530.00	2.00
180580.00	4000.00	hand	n/a	180580.00	1.00
188646.00	4000.00	elbow	n/a	188646.00	2.00
196696.00	4000.00	hand	n/a	196696.00	1.00
204746.00	4000.00	hand	n/a	204746.00	1.00
212813.00	4000.00	hand	n/a	212813.00	1.00
220863.00	4000.00	hand	n/a	220863.00	1.00
228913.00	4000.00	hand	n/a	228913.00	1.00
236979.00	4000.00	hand	n/a	236979.00	1.00
245029.00	4000.00	elbow	n/a	245029.00	2.00
253079.00	4000.00	elbow	n/a	253079.00	2.00
261146.00	4000.00	hand	n/a	261146.00	1.00
269196.00	4000.00	hand	n/a	269196.00	1.00
277245.00	4000.00	elbow	n/a	277245.00	2.00
285312.00	4000.00	elbow	n/a	285312.00	2.00
293362.00	4000.00	hand	n/a	293362.00	1.00
301412.00	4000.00	elbow	n/a	301412.00	2.00
309478.00	4000.00	elbow	n/a	309478.00	2.00
317528.00	4000.00	elbow	n/a	317528.00	2.00
325578.00	4000.00	elbow	n/a	325578.00	2.00
