onset	duration	trial_type	response_time	sample	value
8882.00	4000.00	elbow	n/a	8882.00	2.00
16932.00	4000.00	hand	n/a	16932.00	1.00
24982.00	4000.00	hand	n/a	24982.00	1.00
33049.00	4000.00	elbow	n/a	33049.00	2.00
41098.00	4000.00	hand	n/a	41098.00	1.00
49148.00	4000.00	hand	n/a	49148.00	1.00
57215.00	4000.00	elbow	n/a	57215.00	2.00
65265.00	4000.00	hand	n/a	65265.00	1.00
73315.00	4000.00	elbow	n/a	73315.00	2.00
81381.00	4000.00	hand	n/a	81381.00	1.00
89431.00	4000.00	hand	n/a	89431.00	1.00
97481.00	4000.00	hand	n/a	97481.00	1.00
105548.00	4000.00	elbow	n/a	105548.00	2.00
113598.00	4000.00	hand	n/a	113598.00	1.00
121647.00	4000.00	elbow	n/a	121647.00	2.00
129714.00	4000.00	elbow	n/a	129714.00	2.00
137764.00	4000.00	elbow	n/a	137764.00	2.00
145814.00	4000.00	hand	n/a	145814.00	1.00
153880.00	4000.00	hand	n/a	153880.00	1.00
161931.00	4000.00	elbow	n/a	161931.00	2.00
169980.00	4000.00	elbow	n/a	169980.00	2.00
178047.00	4000.00	elbow	n/a	178047.00	2.00
186097.00	4000.00	elbow	n/a	186097.00	2.00
194147.00	4000.00	elbow	n/a	194147.00	2.00
202213.00	4000.00	hand	n/a	202213.00	1.00
210263.00	4000.00	hand	n/a	210263.00	1.00
218313.00	4000.00	hand	n/a	218313.00	1.00
226380.00	4000.00	elbow	n/a	226380.00	2.00
234429.00	4000.00	elbow	n/a	234429.00	2.00
242479.00	4000.00	hand	n/a	242479.00	1.00
250546.00	4000.00	hand	n/a	250546.00	1.00
258596.00	4000.00	hand	n/a	258596.00	1.00
266646.00	4000.00	elbow	n/a	266646.00	2.00
274712.00	4000.00	hand	n/a	274712.00	1.00
282762.00	4000.00	hand	n/a	282762.00	1.00
290812.00	4000.00	hand	n/a	290812.00	1.00
298879.00	4000.00	elbow	n/a	298879.00	2.00
306929.00	4000.00	elbow	n/a	306929.00	2.00
314978.00	4000.00	elbow	n/a	314978.00	2.00
323045.00	4000.00	elbow	n/a	323045.00	2.00
