onset	duration	trial_type	response_time	sample	value
8877.00	4000.00	hand	n/a	8877.00	1.00
16926.00	4000.00	hand	n/a	16926.00	1.00
24976.00	4000.00	hand	n/a	24976.00	1.00
33026.00	4000.00	elbow	n/a	33026.00	2.00
41093.00	4000.00	elbow	n/a	41093.00	2.00
49143.00	4000.00	elbow	n/a	49143.00	2.00
57193.00	4000.00	elbow	n/a	57193.00	2.00
65259.00	4000.00	elbow	n/a	65259.00	2.00
73309.00	4000.00	hand	n/a	73309.00	1.00
81359.00	4000.00	elbow	n/a	81359.00	2.00
89426.00	4000.00	elbow	n/a	89426.00	2.00
97475.00	4000.00	elbow	n/a	97475.00	2.00
105525.00	4000.00	hand	n/a	105525.00	1.00
113592.00	4000.00	hand	n/a	113592.00	1.00
121642.00	4000.00	elbow	n/a	121642.00	2.00
129692.00	4000.00	elbow	n/a	129692.00	2.00
137758.00	4000.00	hand	n/a	137758.00	1.00
145808.00	4000.00	elbow	n/a	145808.00	2.00
153858.00	4000.00	elbow	n/a	153858.00	2.00
161925.00	4000.00	elbow	n/a	161925.00	2.00
169975.00	4000.00	hand	n/a	169975.00	1.00
178024.00	4000.00	hand	n/a	178024.00	1.00
186091.00	4000.00	hand	n/a	186091.00	1.00
194141.00	4000.00	elbow	n/a	194141.00	2.00
202191.00	4000.00	hand	n/a	202191.00	1.00
210257.00	4000.00	hand	n/a	210257.00	1.00
218307.00	4000.00	elbow	n/a	218307.00	2.00
226357.00	4000.00	hand	n/a	226357.00	1.00
234424.00	4000.00	hand	n/a	234424.00	1.00
242474.00	4000.00	elbow	n/a	242474.00	2.00
250524.00	4000.00	elbow	n/a	250524.00	2.00
258590.00	4000.00	hand	n/a	258590.00	1.00
266640.00	4000.00	elbow	n/a	266640.00	2.00
274690.00	4000.00	hand	n/a	274690.00	1.00
282756.00	4000.00	elbow	n/a	282756.00	2.00
290806.00	4000.00	elbow	n/a	290806.00	2.00
298856.00	4000.00	hand	n/a	298856.00	1.00
306923.00	4000.00	hand	n/a	306923.00	1.00
314973.00	4000.00	hand	n/a	314973.00	1.00
323023.00	4000.00	hand	n/a	323023.00	1.00
