onset	duration	trial_type	response_time	sample	value
8786.00	4000.00	elbow	n/a	8786.00	2.00
16835.00	4000.00	elbow	n/a	16835.00	2.00
24885.00	4000.00	hand	n/a	24885.00	1.00
32935.00	4000.00	hand	n/a	32935.00	1.00
40985.00	4000.00	elbow	n/a	40985.00	2.00
49035.00	4000.00	elbow	n/a	49035.00	2.00
57085.00	4000.00	hand	n/a	57085.00	1.00
65135.00	4000.00	hand	n/a	65135.00	1.00
73201.00	4000.00	hand	n/a	73201.00	1.00
81251.00	4000.00	elbow	n/a	81251.00	2.00
89301.00	4000.00	hand	n/a	89301.00	1.00
97368.00	4000.00	elbow	n/a	97368.00	2.00
105418.00	4000.00	elbow	n/a	105418.00	2.00
113468.00	4000.00	elbow	n/a	113468.00	2.00
121534.00	4000.00	hand	n/a	121534.00	1.00
129584.00	4000.00	hand	n/a	129584.00	1.00
137634.00	4000.00	elbow	n/a	137634.00	2.00
145701.00	4000.00	elbow	n/a	145701.00	2.00
153750.00	4000.00	hand	n/a	153750.00	1.00
161800.00	4000.00	hand	n/a	161800.00	1.00
169867.00	4000.00	elbow	n/a	169867.00	2.00
177917.00	4000.00	elbow	n/a	177917.00	2.00
185967.00	4000.00	elbow	n/a	185967.00	2.00
194033.00	4000.00	elbow	n/a	194033.00	2.00
202083.00	4000.00	elbow	n/a	202083.00	2.00
210133.00	4000.00	hand	n/a	210133.00	1.00
218200.00	4000.00	elbow	n/a	218200.00	2.00
226250.00	4000.00	hand	n/a	226250.00	1.00
234299.00	4000.00	hand	n/a	234299.00	1.00
242366.00	4000.00	hand	n/a	242366.00	1.00
250416.00	4000.00	hand	n/a	250416.00	1.00
258466.00	4000.00	hand	n/a	258466.00	1.00
266532.00	4000.00	elbow	n/a	266532.00	2.00
274582.00	4000.00	elbow	n/a	274582.00	2.00
282632.00	4000.00	hand	n/a	282632.00	1.00
290699.00	4000.00	hand	n/a	290699.00	1.00
298749.00	4000.00	elbow	n/a	298749.00	2.00
306799.00	4000.00	elbow	n/a	306799.00	2.00
314865.00	4000.00	hand	n/a	314865.00	1.00
322915.00	4000.00	hand	n/a	322915.00	1.00
