onset	duration	trial_type	response_time	sample	value
23425.00	4000.00	elbow	n/a	23425.00	2.00
31474.00	4000.00	hand	n/a	31474.00	1.00
39524.00	4000.00	hand	n/a	39524.00	1.00
47574.00	4000.00	hand	n/a	47574.00	1.00
55641.00	4000.00	elbow	n/a	55641.00	2.00
63691.00	4000.00	hand	n/a	63691.00	1.00
71740.00	4000.00	elbow	n/a	71740.00	2.00
79807.00	4000.00	hand	n/a	79807.00	1.00
87857.00	4000.00	hand	n/a	87857.00	1.00
95907.00	4000.00	hand	n/a	95907.00	1.00
103973.00	4000.00	hand	n/a	103973.00	1.00
112023.00	4000.00	elbow	n/a	112023.00	2.00
120073.00	4000.00	elbow	n/a	120073.00	2.00
128140.00	4000.00	hand	n/a	128140.00	1.00
136190.00	4000.00	elbow	n/a	136190.00	2.00
144240.00	4000.00	hand	n/a	144240.00	1.00
152306.00	4000.00	elbow	n/a	152306.00	2.00
160356.00	4000.00	elbow	n/a	160356.00	2.00
168406.00	4000.00	elbow	n/a	168406.00	2.00
176473.00	4000.00	hand	n/a	176473.00	1.00
184522.00	4000.00	hand	n/a	184522.00	1.00
192572.00	4000.00	hand	n/a	192572.00	1.00
200639.00	4000.00	elbow	n/a	200639.00	2.00
208689.00	4000.00	elbow	n/a	208689.00	2.00
216739.00	4000.00	elbow	n/a	216739.00	2.00
224805.00	4000.00	elbow	n/a	224805.00	2.00
232855.00	4000.00	hand	n/a	232855.00	1.00
240905.00	4000.00	hand	n/a	240905.00	1.00
248972.00	4000.00	elbow	n/a	248972.00	2.00
257022.00	4000.00	hand	n/a	257022.00	1.00
265071.00	4000.00	hand	n/a	265071.00	1.00
273138.00	4000.00	elbow	n/a	273138.00	2.00
281188.00	4000.00	elbow	n/a	281188.00	2.00
289238.00	4000.00	hand	n/a	289238.00	1.00
297304.00	4000.00	hand	n/a	297304.00	1.00
305354.00	4000.00	elbow	n/a	305354.00	2.00
313404.00	4000.00	elbow	n/a	313404.00	2.00
321471.00	4000.00	elbow	n/a	321471.00	2.00
329521.00	4000.00	elbow	n/a	329521.00	2.00
337571.00	4000.00	hand	n/a	337571.00	1.00
