onset	duration	trial_type	response_time	sample	value
8118.00	4000.00	hand	n/a	8118.00	1.00
16168.00	4000.00	elbow	n/a	16168.00	2.00
24218.00	4000.00	hand	n/a	24218.00	1.00
32268.00	4000.00	elbow	n/a	32268.00	2.00
40318.00	4000.00	hand	n/a	40318.00	1.00
48384.00	4000.00	elbow	n/a	48384.00	2.00
56434.00	4000.00	elbow	n/a	56434.00	2.00
64484.00	4000.00	elbow	n/a	64484.00	2.00
72550.00	4000.00	elbow	n/a	72550.00	2.00
80600.00	4000.00	elbow	n/a	80600.00	2.00
88650.00	4000.00	elbow	n/a	88650.00	2.00
96717.00	4000.00	hand	n/a	96717.00	1.00
104767.00	4000.00	hand	n/a	104767.00	1.00
112817.00	4000.00	elbow	n/a	112817.00	2.00
120883.00	4000.00	elbow	n/a	120883.00	2.00
128933.00	4000.00	elbow	n/a	128933.00	2.00
136983.00	4000.00	hand	n/a	136983.00	1.00
145050.00	4000.00	hand	n/a	145050.00	1.00
153099.00	4000.00	hand	n/a	153099.00	1.00
161149.00	4000.00	elbow	n/a	161149.00	2.00
169216.00	4000.00	elbow	n/a	169216.00	2.00
177266.00	4000.00	hand	n/a	177266.00	1.00
185316.00	4000.00	elbow	n/a	185316.00	2.00
193382.00	4000.00	hand	n/a	193382.00	1.00
201432.00	4000.00	elbow	n/a	201432.00	2.00
209482.00	4000.00	hand	n/a	209482.00	1.00
217549.00	4000.00	hand	n/a	217549.00	1.00
225599.00	4000.00	hand	n/a	225599.00	1.00
233648.00	4000.00	hand	n/a	233648.00	1.00
241715.00	4000.00	hand	n/a	241715.00	1.00
249765.00	4000.00	hand	n/a	249765.00	1.00
257815.00	4000.00	elbow	n/a	257815.00	2.00
265881.00	4000.00	hand	n/a	265881.00	1.00
273931.00	4000.00	hand	n/a	273931.00	1.00
281981.00	4000.00	elbow	n/a	281981.00	2.00
290048.00	4000.00	hand	n/a	290048.00	1.00
298098.00	4000.00	elbow	n/a	298098.00	2.00
306148.00	4000.00	elbow	n/a	306148.00	2.00
314214.00	4000.00	hand	n/a	314214.00	1.00
322264.00	4000.00	elbow	n/a	322264.00	2.00
