onset	duration	trial_type	response_time	sample	value
8378.00	4000.00	elbow	n/a	8378.00	2.00
16428.00	4000.00	elbow	n/a	16428.00	2.00
24478.00	4000.00	elbow	n/a	24478.00	2.00
32544.00	4000.00	hand	n/a	32544.00	1.00
40594.00	4000.00	hand	n/a	40594.00	1.00
48644.00	4000.00	elbow	n/a	48644.00	2.00
56711.00	4000.00	hand	n/a	56711.00	1.00
64760.00	4000.00	hand	n/a	64760.00	1.00
72810.00	4000.00	elbow	n/a	72810.00	2.00
80877.00	4000.00	elbow	n/a	80877.00	2.00
88927.00	4000.00	hand	n/a	88927.00	1.00
96977.00	4000.00	elbow	n/a	96977.00	2.00
105043.00	4000.00	hand	n/a	105043.00	1.00
113093.00	4000.00	elbow	n/a	113093.00	2.00
121143.00	4000.00	hand	n/a	121143.00	1.00
129210.00	4000.00	elbow	n/a	129210.00	2.00
137260.00	4000.00	elbow	n/a	137260.00	2.00
145309.00	4000.00	elbow	n/a	145309.00	2.00
153376.00	4000.00	elbow	n/a	153376.00	2.00
161426.00	4000.00	elbow	n/a	161426.00	2.00
169476.00	4000.00	elbow	n/a	169476.00	2.00
177542.00	4000.00	hand	n/a	177542.00	1.00
185592.00	4000.00	hand	n/a	185592.00	1.00
193642.00	4000.00	elbow	n/a	193642.00	2.00
201709.00	4000.00	hand	n/a	201709.00	1.00
209759.00	4000.00	elbow	n/a	209759.00	2.00
217809.00	4000.00	elbow	n/a	217809.00	2.00
225875.00	4000.00	hand	n/a	225875.00	1.00
233925.00	4000.00	hand	n/a	233925.00	1.00
241975.00	4000.00	hand	n/a	241975.00	1.00
250042.00	4000.00	elbow	n/a	250042.00	2.00
258091.00	4000.00	hand	n/a	258091.00	1.00
266141.00	4000.00	elbow	n/a	266141.00	2.00
274208.00	4000.00	hand	n/a	274208.00	1.00
282258.00	4000.00	hand	n/a	282258.00	1.00
290308.00	4000.00	hand	n/a	290308.00	1.00
298374.00	4000.00	hand	n/a	298374.00	1.00
306424.00	4000.00	hand	n/a	306424.00	1.00
314474.00	4000.00	hand	n/a	314474.00	1.00
322541.00	4000.00	elbow	n/a	322541.00	2.00
