onset	duration	trial_type	response_time	sample	value
8717.00	4000.00	elbow	n/a	8717.00	2.00
16767.00	4000.00	hand	n/a	16767.00	1.00
24817.00	4000.00	elbow	n/a	24817.00	2.00
32867.00	4000.00	hand	n/a	32867.00	1.00
40917.00	4000.00	elbow	n/a	40917.00	2.00
48967.00	4000.00	hand	n/a	48967.00	1.00
57033.00	4000.00	elbow	n/a	57033.00	2.00
65083.00	4000.00	elbow	n/a	65083.00	2.00
73133.00	4000.00	elbow	n/a	73133.00	2.00
81200.00	4000.00	hand	n/a	81200.00	1.00
89249.00	4000.00	elbow	n/a	89249.00	2.00
97299.00	4000.00	elbow	n/a	97299.00	2.00
105366.00	4000.00	elbow	n/a	105366.00	2.00
113416.00	4000.00	hand	n/a	113416.00	1.00
121466.00	4000.00	elbow	n/a	121466.00	2.00
129532.00	4000.00	hand	n/a	129532.00	1.00
137582.00	4000.00	hand	n/a	137582.00	1.00
145632.00	4000.00	hand	n/a	145632.00	1.00
153699.00	4000.00	hand	n/a	153699.00	1.00
161749.00	4000.00	hand	n/a	161749.00	1.00
169798.00	4000.00	hand	n/a	169798.00	1.00
177865.00	4000.00	hand	n/a	177865.00	1.00
185915.00	4000.00	hand	n/a	185915.00	1.00
193965.00	4000.00	hand	n/a	193965.00	1.00
202031.00	4000.00	elbow	n/a	202031.00	2.00
210081.00	4000.00	hand	n/a	210081.00	1.00
218131.00	4000.00	hand	n/a	218131.00	1.00
226198.00	4000.00	elbow	n/a	226198.00	2.00
234248.00	4000.00	elbow	n/a	234248.00	2.00
242298.00	4000.00	elbow	n/a	242298.00	2.00
250364.00	4000.00	elbow	n/a	250364.00	2.00
258414.00	4000.00	elbow	n/a	258414.00	2.00
266464.00	4000.00	hand	n/a	266464.00	1.00
274531.00	4000.00	elbow	n/a	274531.00	2.00
282580.00	4000.00	hand	n/a	282580.00	1.00
290630.00	4000.00	hand	n/a	290630.00	1.00
298697.00	4000.00	elbow	n/a	298697.00	2.00
306747.00	4000.00	elbow	n/a	306747.00	2.00
314797.00	4000.00	hand	n/a	314797.00	1.00
322863.00	4000.00	elbow	n/a	322863.00	2.00
